freq_hz,P_baseline_W,P_candidate_W,ratio_dB
50.00,4.670935e-02,7.137304e-02,1.84
74.75,1.403264e-02,1.557034e-02,0.45
99.49,6.010083e-03,6.937159e-03,0.62
124.24,3.158418e-03,6.101965e-03,2.86
148.99,1.921343e-03,6.491106e-03,5.29
173.74,1.330122e-03,3.402129e-02,14.08
198.48,1.059565e-03,1.177525e-02,10.46
223.23,1.006172e-03,6.062820e-03,7.80
247.98,1.205688e-03,4.356879e-03,5.58
272.73,1.988321e-03,5.072648e-03,4.07
297.47,5.540123e-03,2.629620e-02,6.76
322.22,6.506294e-02,9.454822e-03,-8.38
346.97,1.421326e-02,3.471390e-03,-6.12
371.72,3.120585e-03,3.447998e-03,0.43
396.46,1.767219e-03,3.774314e-03,3.30
421.21,3.312625e-03,4.786530e-03,1.60
445.96,1.112423e-03,2.099789e-03,2.76
470.71,2.823878e-03,3.538814e-03,0.98
495.45,1.631918e-03,2.936364e-03,2.55
520.20,7.817701e-03,1.422218e-03,-7.40
544.95,2.584814e-03,9.399109e-04,-4.39
569.70,8.163342e-04,1.142003e-03,1.46
594.44,1.015780e-03,7.253790e-04,-1.46
619.19,5.230512e-04,4.588335e-04,-0.57
643.94,2.782718e-04,5.512621e-04,2.97
668.69,2.352096e-04,8.242295e-04,5.45
693.43,2.514241e-04,1.242825e-03,6.94
718.18,3.466709e-04,1.344782e-03,5.89
742.93,5.778031e-04,8.443582e-04,1.65
767.68,1.574451e-03,7.579242e-04,-3.18
792.42,5.315354e-03,7.792551e-04,-8.34
817.17,1.652324e-03,5.482461e-04,-4.79
841.92,5.570517e-04,4.018993e-04,-1.42
866.67,2.756770e-04,2.460076e-04,-0.49
891.41,1.755468e-04,1.799689e-04,0.11
916.16,1.356572e-04,1.628802e-04,0.79
940.91,1.393965e-04,1.527954e-04,0.40
965.66,2.173182e-04,1.201062e-04,-2.58
990.40,1.380963e-04,9.856294e-05,-1.46
1015.15,9.950699e-05,1.146766e-04,0.62
1039.90,1.178007e-04,1.343382e-04,0.57
1064.65,1.806595e-04,1.348535e-04,-1.27
1089.39,1.020759e-04,1.096292e-04,0.31
1114.14,7.206900e-05,1.073385e-04,1.73
1138.89,8.100825e-05,8.710998e-05,0.32
1163.64,1.432178e-04,5.698050e-05,-4.00
1188.38,2.561919e-04,4.992480e-05,-7.10
1213.13,1.284263e-04,4.941838e-05,-4.15
1237.88,5.996656e-05,4.723850e-05,-1.04
1262.63,4.046850e-05,4.237455e-05,0.20
1287.37,3.611295e-05,4.486169e-05,0.94
1312.12,2.834590e-05,4.400224e-05,1.91
1336.87,2.649831e-05,3.935929e-05,1.72
1361.62,2.276832e-05,4.228325e-05,2.69
1386.36,1.831142e-05,3.729670e-05,3.09
1411.11,1.727831e-05,3.359533e-05,2.89
1435.86,1.832361e-05,3.202370e-05,2.42
1460.61,2.257527e-05,3.252120e-05,1.59
1485.35,2.267799e-05,3.308351e-05,1.64
1510.10,2.556527e-05,3.392416e-05,1.23
1534.85,2.985192e-05,3.136750e-05,0.22
1559.60,2.396609e-05,3.496597e-05,1.64
1584.34,2.063823e-05,4.110976e-05,2.99
1609.09,1.892183e-05,4.254122e-05,3.52
1633.84,1.922546e-05,4.269501e-05,3.47
1658.59,2.298964e-05,4.823837e-05,3.22
1683.33,3.230997e-05,5.675414e-05,2.45
1708.08,4.913399e-05,5.672114e-05,0.62
1732.83,5.450404e-05,5.574350e-05,0.10
1757.58,4.614219e-05,5.841351e-05,1.02
1782.32,4.582018e-05,6.187400e-05,1.30
1807.07,4.819129e-05,6.511347e-05,1.31
1831.82,5.439347e-05,6.561274e-05,0.81
1856.57,7.492856e-05,6.257597e-05,-0.78
1881.31,1.236539e-04,6.117810e-05,-3.06
1906.06,1.562888e-04,6.090927e-05,-4.09
1930.81,1.142403e-04,5.981150e-05,-2.81
1955.56,7.640794e-05,5.627318e-05,-1.33
1980.30,5.434767e-05,5.582594e-05,0.12
2005.05,4.400721e-05,5.627713e-05,1.07
2029.80,3.903527e-05,5.580353e-05,1.55
2054.55,3.837516e-05,6.322643e-05,2.17
2079.29,4.273594e-05,7.854993e-05,2.64
2104.04,5.356710e-05,8.972938e-05,2.24
2128.79,7.524503e-05,9.222866e-05,0.88
2153.54,1.177970e-04,9.300721e-05,-1.03
2178.28,1.909172e-04,9.337479e-05,-3.11
2203.03,2.400956e-04,9.432376e-05,-4.06
2227.78,1.961450e-04,9.576418e-05,-3.11
2252.53,1.386273e-04,9.485925e-05,-1.65
2277.27,1.064885e-04,9.064820e-05,-0.70
2302.02,8.888960e-05,8.695375e-05,-0.10
2326.77,7.678951e-05,8.411184e-05,0.40
2351.52,7.109075e-05,8.312654e-05,0.68
2376.26,6.755117e-05,8.255755e-05,0.87
2401.01,6.802562e-05,8.361170e-05,0.90
2425.76,7.819545e-05,8.620802e-05,0.42
2450.51,1.031622e-04,8.906371e-05,-0.64
2475.25,1.484534e-04,9.073600e-05,-2.14
2500.00,1.971610e-04,9.139767e-05,-3.34
