freq_hz,T_baseline,T_candidate,delta_dB
50.00,1.070924e+00,4.025048e-01,-8.50
74.75,1.171608e+00,5.957955e-01,-5.87
99.49,1.343470e+00,7.738617e-01,-4.79
124.24,1.641244e+00,1.035539e+00,-4.00
148.99,2.207060e+00,9.107183e-01,-7.69
173.74,3.505966e+00,6.829407e-01,-14.21
198.48,6.764215e+00,1.249411e+00,-14.67
223.23,4.778714e+00,8.232926e-01,-15.28
247.98,2.531664e+00,1.198789e+00,-6.49
272.73,1.675165e+00,8.598754e-01,-5.79
297.47,1.262309e+00,6.709548e-01,-5.49
322.22,1.036693e+00,1.029157e+00,-0.06
346.97,9.166662e-01,7.024519e-01,-2.31
371.72,8.829202e-01,9.892216e-01,0.99
396.46,8.695893e-01,8.178102e-01,-0.53
421.21,3.503268e-01,8.111777e-01,7.29
445.96,5.286251e-01,1.195316e+00,7.09
470.71,7.649904e-01,8.194707e-01,0.60
495.45,6.330459e-01,8.953280e-01,3.01
520.20,9.399249e-01,9.544456e-01,0.13
544.95,1.078131e+00,9.296588e-01,-1.29
569.70,1.185064e+00,8.644352e-01,-2.74
594.44,1.203516e+00,9.277468e-01,-2.26
619.19,9.648704e-01,9.924574e-01,0.24
643.94,1.178370e+00,9.462702e-01,-1.91
668.69,1.527990e+00,9.934349e-01,-3.74
693.43,1.917691e+00,1.229099e+00,-3.86
718.18,2.054032e+00,9.826101e-01,-6.40
742.93,1.961886e+00,9.593535e-01,-6.21
767.68,1.334468e+00,8.206117e-01,-4.22
792.42,9.835367e-01,6.681655e-01,-3.36
817.17,7.881207e-01,6.417615e-01,-1.78
841.92,6.846205e-01,6.250128e-01,-0.79
866.67,6.079689e-01,6.346348e-01,0.37
891.41,5.774407e-01,6.302674e-01,0.76
916.16,5.846154e-01,6.460818e-01,0.87
940.91,6.581382e-01,7.203974e-01,0.79
965.66,7.520424e-01,7.326970e-01,-0.23
990.40,6.785190e-01,6.639457e-01,-0.19
1015.15,6.449080e-01,6.378864e-01,-0.10
1039.90,7.215378e-01,6.435454e-01,-0.99
1064.65,7.323541e-01,6.376236e-01,-1.20
1089.39,6.428221e-01,6.048592e-01,-0.53
1114.14,6.589320e-01,5.554509e-01,-1.48
1138.89,7.842100e-01,5.464140e-01,-3.14
1163.64,8.986115e-01,5.009211e-01,-5.08
1188.38,7.421408e-01,4.661989e-01,-4.04
1213.13,5.093976e-01,4.216435e-01,-1.64
1237.88,3.754292e-01,3.925481e-01,0.39
1262.63,3.190417e-01,3.469334e-01,0.73
1287.37,3.102562e-01,3.510462e-01,1.07
1312.12,3.104942e-01,4.037028e-01,2.28
1336.87,3.662984e-01,4.224710e-01,1.24
1361.62,3.794415e-01,4.198451e-01,0.88
1386.36,3.328431e-01,4.144633e-01,1.90
1411.11,3.089639e-01,4.173201e-01,2.61
1435.86,3.279940e-01,4.203554e-01,2.16
1460.61,3.640683e-01,4.128431e-01,1.09
1485.35,3.855395e-01,4.165227e-01,0.67
1510.10,4.797075e-01,4.275826e-01,-1.00
1534.85,6.716856e-01,4.190813e-01,-4.10
1559.60,7.494135e-01,4.095325e-01,-5.25
1584.34,7.149158e-01,4.154464e-01,-4.71
1609.09,6.609152e-01,4.525392e-01,-3.29
1633.84,6.139550e-01,4.672274e-01,-2.37
1658.59,5.602501e-01,4.305697e-01,-2.29
1683.33,5.187508e-01,3.947310e-01,-2.37
1708.08,4.965871e-01,3.982529e-01,-1.92
1732.83,4.787027e-01,4.328784e-01,-0.87
1757.58,5.072215e-01,4.757928e-01,-0.56
1782.32,5.953092e-01,5.262904e-01,-1.07
1807.07,6.970079e-01,5.603840e-01,-1.90
1831.82,7.648519e-01,5.781342e-01,-2.43
1856.57,8.131540e-01,5.998458e-01,-2.64
1881.31,8.736791e-01,6.292743e-01,-2.85
1906.06,9.607920e-01,6.368400e-01,-3.57
1930.81,1.082836e+00,6.232827e-01,-4.80
1955.56,1.260233e+00,6.223646e-01,-6.13
1980.30,1.478823e+00,6.366435e-01,-7.32
2005.05,1.596246e+00,6.348200e-01,-8.01
2029.80,1.552494e+00,6.084745e-01,-8.14
2054.55,1.418402e+00,5.634351e-01,-8.02
2079.29,1.256336e+00,5.156643e-01,-7.73
2104.04,1.107620e+00,4.838266e-01,-7.19
2128.79,9.965528e-01,4.676488e-01,-6.57
2153.54,9.287799e-01,4.547100e-01,-6.20
2178.28,8.976869e-01,4.460991e-01,-6.07
2203.03,8.993240e-01,4.440431e-01,-6.13
2227.78,9.341151e-01,4.448323e-01,-6.44
2252.53,1.002788e+00,4.557770e-01,-6.85
2277.27,1.096828e+00,4.847151e-01,-7.09
2302.02,1.199182e+00,5.193182e-01,-7.27
2326.77,1.283967e+00,5.484688e-01,-7.39
2351.52,1.311621e+00,5.630753e-01,-7.34
2376.26,1.299910e+00,5.632693e-01,-7.26
2401.01,1.259952e+00,5.584781e-01,-7.07
2425.76,1.157067e+00,5.489177e-01,-6.48
2450.51,1.023002e+00,5.292128e-01,-5.72
2475.25,9.111537e-01,5.065919e-01,-5.10
2500.00,8.328221e-01,4.956960e-01,-4.51
